"GameId" "Date" "HomeTeam" "AwayTeam" "HomeGoals" "HomeShots" "AwayGoals" "AwayShots"
"117" 21766 "Game # 117. 26 September 2008, Friday, " "Traktor Chelyabinsk" "Metallurg Magnitogorsk" "1" "22" "3" "19"
"118" 21767 "Game # 118. 26 September 2008, Friday, " "CSKA Moscow" "Dinamo Minsk" "8" "35" "3" "23"
"119" 21768 "Game # 119. 26 September 2008, Friday, " "Spartak Moscow" "Dynamo M" "2" "30" "4" "42"
"120" 21769 "Game # 120. 26 September 2008, Friday, " "Vityaz Moscow Region" "Dinamo Riga" "2" "40" "2" "33"
"121" 21770 "Game # 121. 28 September 2008, Sunday, " "Metallurg Magnitogorsk" "Salavat Yulaev Ufa" "1" "42" "5" "37"
"122" 21771 "Game # 122. 28 September 2008, Sunday, " "" "Torpedo Nizhny Novgorod" "3" "19" "2" "28"
"123" 21772 "Game # 123. 28 September 2008, Sunday, " "Severstal Cherepovets" "Dinamo Minsk" "5" "25" "1" "23"
"124" 21773 "Game # 124. 29 September 2008, Monday, " "Ak Bars Kazan" "Sibir Novosibirsk Region" "8" "17" "4" "20"
"125" 21774 "Game # 125. 29 September 2008, Monday, " "Neftekhimik Nizhnekamsk" "Amur Khabarovsk" "4" "29" "2" "26"
"126" 21775 "Game # 126. 29 September 2008, Monday, " "Lada" "Metallurg Novokuznetsk" "1" "28" "3" "22"
"127" 21776 "Game # 127. 29 September 2008, Monday, " "Avangard Omsk Region" "HC MVD" "7" "31" "4" "31"
"128" 21777 "Game # 128. 29 September 2008, Monday, " "Barys Astana" "Atlant Moscow Region" "3" "39" "4" "25"
"129" 21778 "Game # 129. 30 September 2008, Tuesday, " "Traktor Chelyabinsk" "Salavat Yulaev Ufa" "1" "25" "1" "33"
"130" 21779 "Game # 130. 30 September 2008, Tuesday, " "Avangard Omsk Region" "Torpedo Nizhny Novgorod" "4" "25" "3" "35"
"131" 21780 "Game # 131. 29 September 2008, Monday, " "SKA Saint Petersburg" "Spartak Moscow" "4" "32" "1" "16"
"132" 21781 "Game # 132. 30 September 2008, Tuesday, " "Severstal Cherepovets" "CSKA Moscow" "3" "23" "1" "25"
"133" 21782 "Game # 133. 30 September 2008, Tuesday, " "Lokomotiv Yaroslavl" "Vityaz Moscow Region" "4" "31" "1" "32"
"134" 21783 "Game # 134.  1 October 2008, Wednesday, " "Ak Bars Kazan" "Metallurg Novokuznetsk" "6" "17" "3" "29"
"135" 21784 "Game # 135.  1 October 2008, Wednesday, " "Neftekhimik Nizhnekamsk" "Sibir Novosibirsk Region" "0" "26" "0" "24"
"136" 21785 "Game # 136.  1 October 2008, Wednesday, " "Lada" "Amur Khabarovsk" "3" "28" "0" "13"
"137" 21786 "Game # 137.  1 October 2008, Wednesday, " "Barys Astana" "HC MVD" "4" "37" "2" "30"
"138" 21787 "Game # 138.  1 October 2008, Wednesday, " "" "Atlant Moscow Region" "1" "29" "4" "31"
"139" 21788 "Game # 139.  1 October 2008, Wednesday, " "Dinamo Riga" "Dynamo M" "4" "30" "3" "39"
"140" 21789 "Game # 140.  2 October 2008, Thursday, " "Barys Astana" "Torpedo Nizhny Novgorod" "3" "31" "0" "34"
"141" 21790 "Game # 141.  2 October 2008, Thursday, " "SKA Saint Petersburg" "CSKA Moscow" "5" "27" "3" "16"
"142" 21791 "Game # 142.  2 October 2008, Thursday, " "Severstal Cherepovets" "Vityaz Moscow Region" "4" "34" "3" "25"
"143" 21792 "Game # 143.  2 October 2008, Thursday, " "Lokomotiv Yaroslavl" "Spartak Moscow" "5" "34" "2" "24"
"144" 21793 "Game # 144.  4 October 2008, Saturday, " "Metallurg Magnitogorsk" "Traktor Chelyabinsk" "5" "20" "1" "34"
"145" 21794 "Game # 145.  3 October 2008, Friday, " "Ak Bars Kazan" "Amur Khabarovsk" "4" "27" "2" "22"
"146" 21795 "Game # 146.  3 October 2008, Friday, " "Neftekhimik Nizhnekamsk" "Metallurg Novokuznetsk" "3" "30" "2" "13"
"147" 21796 "Game # 147.  3 October 2008, Friday, " "Lada" "Sibir Novosibirsk Region" "3" "21" "2" "23"
"148" 21797 "Game # 148.  3 October 2008, Friday, " "Avangard Omsk Region" "Atlant Moscow Region" "3" "31" "3" "35"
"149" 21798 "Game # 149.  3 October 2008, Friday, " "" "HC MVD" "1" "20" "3" "29"
"150" 21799 "Game # 150.  3 October 2008, Friday, " "Dinamo Minsk" "Dynamo M" "0" "15" "2" "26"
"151" 21800 "Game # 151.  4 October 2008, Saturday, " "SKA Saint Petersburg" "Vityaz Moscow Region" "0" "41" "0" "28"
"152" 21801 "Game # 152.  4 October 2008, Saturday, " "Severstal Cherepovets" "Spartak Moscow" "5" "17" "4" "32"
"153" 21802 "Game # 153.  4 October 2008, Saturday, " "Lokomotiv Yaroslavl" "CSKA Moscow" "1" "40" "2" "22"
