"","X","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomePDO","AwayPDO","HomeTSR","AwayTSR","HomeWins","AwayWins"
"115",115,21764,2008-09-25,"Salavat Yulaev Ufa","Lada",2,33,1,18,1005,995,0.647058823529412,0.352941176470588,"win","loss"
"116",116,21765,2008-09-26,"Amur Khabarovsk","Avangard Omsk Region",3,29,4,30,970,1030,0.491525423728814,0.508474576271186,"loss","win"
"117",117,21766,2008-09-26,"Traktor Chelyabinsk","Metallurg Magnitogorsk",1,22,3,19,888,1112,0.536585365853659,0.463414634146341,"loss","win"
"118",118,21767,2008-09-26,"CSKA Moscow","Dinamo Minsk",8,35,3,23,1098,902,0.603448275862069,0.396551724137931,"win","loss"
"119",119,21768,2008-09-26,"Spartak Moscow","Dynamo M",2,30,4,42,971,1029,0.416666666666667,0.583333333333333,"loss","win"
"120",120,21769,2008-09-26,"Vityaz Moscow Region","Dinamo Riga",2,40,2,33,989,1011,0.547945205479452,0.452054794520548,"draw","draw"
"121",121,21770,2008-09-28,"Metallurg Magnitogorsk","Salavat Yulaev Ufa",1,42,5,37,889,1111,0.531645569620253,0.468354430379747,"loss","win"
"122",122,21771,2008-09-28,"Khimik","Torpedo Nizhny Novgorod",3,19,2,28,1086,914,0.404255319148936,0.595744680851064,"win","loss"
"123",123,21772,2008-09-28,"Severstal Cherepovets","Dinamo Minsk",5,25,1,23,1157,843,0.520833333333333,0.479166666666667,"win","loss"
"124",124,21773,2008-09-29,"Ak Bars Kazan","Sibir Novosibirsk Region",8,17,4,20,1271,729,0.459459459459459,0.540540540540541,"win","loss"
"125",125,21774,2008-09-29,"Neftekhimik Nizhnekamsk","Amur Khabarovsk",4,29,2,26,1061,939,0.527272727272727,0.472727272727273,"win","loss"
"126",126,21775,2008-09-29,"Lada","Metallurg Novokuznetsk",1,28,3,22,899,1101,0.56,0.44,"loss","win"
"127",127,21776,2008-09-29,"Avangard Omsk Region","HC MVD",7,31,4,31,1097,903,0.5,0.5,"win","loss"
"128",128,21777,2008-09-29,"Barys Astana","Atlant Moscow Region",3,39,4,25,917,1083,0.609375,0.390625,"loss","win"
"129",129,21778,2008-09-30,"Traktor Chelyabinsk","Salavat Yulaev Ufa",1,25,1,33,1010,990,0.431034482758621,0.568965517241379,"draw","draw"
"130",130,21779,2008-09-30,"Avangard Omsk Region","Torpedo Nizhny Novgorod",4,25,3,35,1074,926,0.416666666666667,0.583333333333333,"win","loss"
"131",131,21780,2008-09-29,"SKA Saint Petersburg","Spartak Moscow",4,32,1,16,1062,938,0.666666666666667,0.333333333333333,"win","loss"
"132",132,21781,2008-09-30,"Severstal Cherepovets","CSKA Moscow",3,23,1,25,1090,910,0.479166666666667,0.520833333333333,"win","loss"
"133",133,21782,2008-09-30,"Lokomotiv Yaroslavl","Vityaz Moscow Region",4,31,1,32,1098,902,0.492063492063492,0.507936507936508,"win","loss"
"134",134,21783,2008-10-01,"Ak Bars Kazan","Metallurg Novokuznetsk",6,17,3,29,1249,751,0.369565217391304,0.630434782608696,"win","loss"
"135",135,21784,2008-10-01,"Neftekhimik Nizhnekamsk","Sibir Novosibirsk Region",0,26,0,24,1000,1000,0.52,0.48,"draw","draw"
"136",136,21785,2008-10-01,"Lada","Amur Khabarovsk",3,28,0,13,1107,893,0.682926829268293,0.317073170731707,"win","loss"
"137",137,21786,2008-10-01,"Barys Astana","HC MVD",4,37,2,30,1041,959,0.552238805970149,0.447761194029851,"win","loss"
"138",138,21787,2008-10-01,"Khimik","Atlant Moscow Region",1,29,4,31,905,1095,0.483333333333333,0.516666666666667,"loss","win"
"139",139,21788,2008-10-01,"Dinamo Riga","Dynamo M",4,30,3,39,1056,944,0.434782608695652,0.565217391304348,"win","loss"
"140",140,21789,2008-10-02,"Barys Astana","Torpedo Nizhny Novgorod",3,31,0,34,1097,903,0.476923076923077,0.523076923076923,"win","loss"
"141",141,21790,2008-10-02,"SKA Saint Petersburg","CSKA Moscow",5,27,3,16,998,1002,0.627906976744186,0.372093023255814,"win","loss"
"142",142,21791,2008-10-02,"Severstal Cherepovets","Vityaz Moscow Region",4,34,3,25,998,1002,0.576271186440678,0.423728813559322,"win","loss"
"143",143,21792,2008-10-02,"Lokomotiv Yaroslavl","Spartak Moscow",5,34,2,24,1064,936,0.586206896551724,0.413793103448276,"win","loss"
"144",144,21793,2008-10-04,"Metallurg Magnitogorsk","Traktor Chelyabinsk",5,20,1,34,1221,779,0.37037037037037,0.62962962962963,"win","loss"
"145",145,21794,2008-10-03,"Ak Bars Kazan","Amur Khabarovsk",4,27,2,22,1057,943,0.551020408163265,0.448979591836735,"win","loss"
"146",146,21795,2008-10-03,"Neftekhimik Nizhnekamsk","Metallurg Novokuznetsk",3,30,2,13,946,1054,0.697674418604651,0.302325581395349,"win","loss"
"147",147,21796,2008-10-03,"Lada","Sibir Novosibirsk Region",3,21,2,23,1056,944,0.477272727272727,0.522727272727273,"win","loss"
"148",148,21797,2008-10-03,"Avangard Omsk Region","Atlant Moscow Region",3,31,3,35,1011,989,0.46969696969697,0.53030303030303,"draw","draw"
"149",149,21798,2008-10-03,"Khimik","HC MVD",1,20,3,29,947,1053,0.408163265306122,0.591836734693878,"loss","win"
"150",150,21799,2008-10-03,"Dinamo Minsk","Dynamo M",0,15,2,26,923,1077,0.365853658536585,0.634146341463415,"loss","win"
"151",151,21800,2008-10-04,"SKA Saint Petersburg","Vityaz Moscow Region",0,41,0,28,1000,1000,0.594202898550725,0.405797101449275,"draw","draw"
"152",152,21801,2008-10-04,"Severstal Cherepovets","Spartak Moscow",5,17,4,32,1169,831,0.346938775510204,0.653061224489796,"win","loss"
"153",153,21802,2008-10-04,"Lokomotiv Yaroslavl","CSKA Moscow",1,40,2,22,934,1066,0.645161290322581,0.354838709677419,"loss","win"
"154",154,21803,2008-10-05,"Torpedo Nizhny Novgorod","Dynamo M",3,31,0,23,1097,903,0.574074074074074,0.425925925925926,"win","loss"
"155",155,21804,2008-10-05,"Salavat Yulaev Ufa","Metallurg Novokuznetsk",3,63,1,21,1000,1000,0.75,0.25,"win","loss"
"156",156,21805,2008-10-05,"Khimik","Metallurg Magnitogorsk",4,18,0,27,1222,778,0.4,0.6,"win","loss"
"157",157,21806,2008-10-06,"Dinamo Riga","Dinamo Minsk",8,30,5,29,1094,906,0.508474576271186,0.491525423728814,"win","loss"
"158",158,21807,2008-10-07,"Torpedo Nizhny Novgorod","Neftekhimik Nizhnekamsk",4,28,2,31,1078,922,0.474576271186441,0.525423728813559,"win","loss"
"159",159,21808,2008-10-07,"HC MVD","Lada",3,24,1,19,1072,928,0.558139534883721,0.441860465116279,"win","loss"
"160",160,21809,2008-10-07,"Atlant Moscow Region","Ak Bars Kazan",6,29,1,23,1163,837,0.557692307692308,0.442307692307692,"win","loss"
"161",161,21810,2008-10-07,"Amur Khabarovsk","Traktor Chelyabinsk",3,26,5,41,993,1007,0.388059701492537,0.611940298507463,"loss","win"
"162",162,21811,2008-10-07,"Sibir Novosibirsk Region","Metallurg Magnitogorsk",2,19,1,19,1053,947,0.5,0.5,"win","loss"
"163",163,21812,2008-10-07,"Spartak Moscow","Severstal Cherepovets",8,35,2,27,1154,846,0.564516129032258,0.435483870967742,"win","loss"
"164",164,21813,2008-10-08,"CSKA Moscow","Barys Astana",4,36,3,39,1034,966,0.48,0.52,"win","loss"
"165",165,21814,2008-10-08,"Vityaz Moscow Region","Khimik",2,32,1,23,1019,981,0.581818181818182,0.418181818181818,"win","loss"
"166",166,21815,2008-10-09,"Torpedo Nizhny Novgorod","Lada",2,33,3,27,949,1051,0.55,0.45,"loss","win"
"167",167,21816,2008-10-09,"HC MVD","Ak Bars Kazan",2,21,3,21,952,1048,0.5,0.5,"loss","win"
"168",168,21817,2008-10-09,"Atlant Moscow Region","Neftekhimik Nizhnekamsk",5,29,0,32,1172,828,0.475409836065574,0.524590163934426,"win","loss"
"169",169,21818,2008-10-09,"Metallurg Novokuznetsk","Metallurg Magnitogorsk",2,23,4,25,927,1073,0.479166666666667,0.520833333333333,"loss","win"
"170",170,21819,2008-10-09,"Sibir Novosibirsk Region","Traktor Chelyabinsk",5,26,1,17,1133,867,0.604651162790698,0.395348837209302,"win","loss"
"171",171,21820,2008-10-09,"Dinamo Riga","SKA Saint Petersburg",1,17,1,40,1034,966,0.298245614035088,0.701754385964912,"draw","draw"
"172",172,21821,2008-10-09,"Dinamo Minsk","Lokomotiv Yaroslavl",0,17,2,16,875,1125,0.515151515151515,0.484848484848485,"loss","win"
"173",173,21822,2008-10-09,"Dynamo M","Severstal Cherepovets",4,29,1,23,1094,906,0.557692307692308,0.442307692307692,"win","loss"
"174",174,21823,2008-10-09,"Spartak Moscow","Avangard Omsk Region",2,22,5,21,853,1147,0.511627906976744,0.488372093023256,"loss","win"
"175",175,21824,2008-10-10,"Amur Khabarovsk","Salavat Yulaev Ufa",0,26,3,29,897,1103,0.472727272727273,0.527272727272727,"loss","win"
"176",176,21825,2008-10-10,"Spartak Moscow","Khimik",5,31,3,27,1050,950,0.53448275862069,0.46551724137931,"win","loss"
