"","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots"
"145",37922,"Game # 145.  1 October 2013, Tuesday, 16:00","Sibir Novosibirsk Region","Dinamo Riga",1,30,4,32
"146",37923,"Game # 146.  1 October 2013, Tuesday, 19:00","Ak Bars Kazan","Atlant Moscow Region",4,24,2,21
"147",37924,"Game # 147.  1 October 2013, Tuesday, 19:30","Torpedo Nizhny Novgorod","SKA Saint Petersburg",5,23,2,26
"148",37925,"Game # 148.  1 October 2013, Tuesday, 19:00","Vityaz Moscow Region","Lokomotiv Yaroslavl",2,34,3,28
"149",37926,"Game # 149.  1 October 2013, Tuesday, 19:30","Dynamo Moscow","Severstal Cherepovets",3,33,1,20
"150",37927,"Game # 150.  2 October 2013, Wednesday, 19:00","Neftekhimik Nizhnekamsk","Salavat Yulaev Ufa",4,34,3,28
"151",37928,"Game # 151.  2 October 2013, Wednesday, 19:30","Spartak Moscow","Barys Astana",3,26,4,26
"152",37929,"Game # 152.  2 October 2013, Wednesday, 19:30","Donbass Donetsk","Avtomobilist Yekaterinburg",4,26,2,23
"153",37930,"Game # 153.  2 October 2013, Wednesday, 20:00","Dinamo Minsk","Ugra Khanty-Mansiysk",5,28,3,34
"154",37931,"Game # 154.  2 October 2013, Wednesday, 21:30","Medvescak Zagreb","Avangard Omsk Region",4,16,0,39
"155",37932,"Game # 155.  3 October 2013, Thursday, 13:00","Admiral Vladivostok","Slovan Bratislava",3,37,1,27
"156",37933,"Game # 156.  3 October 2013, Thursday, 12:00","Amur Khabarovsk","Lev Prague",3,31,0,35
"157",37934,"Game # 157.  3 October 2013, Thursday, 16:00","Metallurg Novokuznetsk","Dinamo Riga",0,35,2,25
"158",37935,"Game # 158.  3 October 2013, Thursday, 16:00","Sibir Novosibirsk Region","CSKA Moscow",3,35,2,34
"159",37936,"Game # 159. 26 September 2013, Thursday, 17:00","Traktor Chelyabinsk","Metallurg Magnitogorsk",0,34,5,24
"160",37937,"Game # 160.  3 October 2013, Thursday, 19:30","Ak Bars Kazan","SKA Saint Petersburg",1,31,3,28
"161",37938,"Game # 161.  3 October 2013, Thursday, 19:30","Torpedo Nizhny Novgorod","Atlant Moscow Region",1,28,3,17
"162",37939,"Game # 162.  3 October 2013, Thursday, 19:00","Vityaz Moscow Region","Severstal Cherepovets",3,27,1,29
"163",37940,"Game # 163.  3 October 2013, Thursday, 19:30","Dynamo Moscow","Lokomotiv Yaroslavl",1,27,3,31
"164",37941,"Game # 164.  4 October 2013, Friday, 20:00","Dinamo Minsk","Avangard Omsk Region",4,25,3,37
"165",37942,"Game # 165.  5 October 2013, Saturday, 17:00","Dynamo Moscow","Spartak Moscow",2,32,1,18
"166",37943,"Game # 166.  6 October 2013, Sunday, 15:00","Avtomobilist Yekaterinburg","Donbass Donetsk",0,25,3,30
"167",37944,"Game # 167.  7 October 2013, Monday, 19:00","Lokomotiv Yaroslavl","Metallurg Novokuznetsk",1,41,0,22
"168",37945,"Game # 168.  7 October 2013, Monday, 19:00","Severstal Cherepovets","Sibir Novosibirsk Region",2,39,3,33
"169",37946,"Game # 169.  7 October 2013, Monday, 19:30","Atlant Moscow Region","Admiral Vladivostok",2,13,1,35
"170",37947,"Game # 170.  7 October 2013, Monday, 19:30","SKA Saint Petersburg","Amur Khabarovsk",4,37,3,23
"171",37948,"Game # 171.  7 October 2013, Monday, 18:30","CSKA Moscow","Salavat Yulaev Ufa",3,26,2,26
"172",37949,"Game # 172.  7 October 2013, Monday, 21:00","Lev Prague","Metallurg Magnitogorsk",3,30,4,26
"173",37950,"Game # 173.  7 October 2013, Monday, 21:30","Medvescak Zagreb","Neftekhimik Nizhnekamsk",6,38,0,30
"174",37951,"Game # 174.  8 October 2013, Tuesday, 16:00","Avangard Omsk Region","Dynamo Moscow",0,36,6,23
"175",37952,"Game # 175.  8 October 2013, Tuesday, 17:00","Barys Astana","Vityaz Moscow Region",2,39,2,23
"176",37953,"Game # 176.  8 October 2013, Tuesday, 17:00","Ugra Khanty-Mansiysk","Ak Bars Kazan",3,28,4,33
"177",37954,"Game # 177.  8 October 2013, Tuesday, 17:00","Avtomobilist Yekaterinburg","Torpedo Nizhny Novgorod",2,30,4,33
"178",37955,"Game # 178.  8 October 2013, Tuesday, 19:30","Spartak Moscow","Donbass Donetsk",2,33,1,23
"179",37956,"Game # 179.  9 October 2013, Wednesday, 19:00","Lokomotiv Yaroslavl","Admiral Vladivostok",4,32,0,37
"180",37957,"Game # 180.  9 October 2013, Wednesday, 19:00","Severstal Cherepovets","Amur Khabarovsk",3,40,2,39
"181",37958,"Game # 181.  9 October 2013, Wednesday, 19:30","Atlant Moscow Region","Metallurg Novokuznetsk",2,37,1,21
"182",37959,"Game # 182.  9 October 2013, Wednesday, 19:30","SKA Saint Petersburg","Sibir Novosibirsk Region",1,24,1,22
"183",37960,"Game # 183.  9 October 2013, Wednesday, 19:30","CSKA Moscow","Traktor Chelyabinsk",1,32,3,16
"184",37961,"Game # 184.  9 October 2013, Wednesday, 20:00","Dinamo Minsk","Medvescak Zagreb",2,21,3,43
"185",37962,"Game # 185.  9 October 2013, Wednesday, 20:30","Dinamo Riga","Salavat Yulaev Ufa",2,28,5,29
"186",37963,"Game # 186.  9 October 2013, Wednesday, 21:00","Slovan Bratislava","Metallurg Magnitogorsk",4,42,3,23
"187",37964,"Game # 187.  9 October 2013, Wednesday, 21:00","Lev Prague","Neftekhimik Nizhnekamsk",2,38,0,25
"188",37965,"Game # 188. 10 October 2013, Thursday, 16:00","Avangard Omsk Region","Vityaz Moscow Region",3,32,1,13
"189",37966,"Game # 189. 10 October 2013, Thursday, 17:00","Barys Astana","Dynamo Moscow",3,40,3,28
"190",37967,"Game # 190. 10 October 2013, Thursday, 17:00","Ugra Khanty-Mansiysk","Torpedo Nizhny Novgorod",4,22,3,28
"191",37968,"Game # 191. 10 October 2013, Thursday, 17:00","Avtomobilist Yekaterinburg","Ak Bars Kazan",2,39,2,27
"192",37969,"Game # 192. 11 October 2013, Friday, 19:00","Lokomotiv Yaroslavl","Amur Khabarovsk",0,38,0,32
"193",37970,"Game # 193. 11 October 2013, Friday, 19:00","Severstal Cherepovets","Admiral Vladivostok",4,50,4,35
"194",37971,"Game # 194. 11 October 2013, Friday, 19:30","Atlant Moscow Region","Sibir Novosibirsk Region",1,26,2,31
"195",37972,"Game # 195. 11 October 2013, Friday, 19:30","SKA Saint Petersburg","Metallurg Novokuznetsk",4,49,1,30
"196",37973,"Game # 196. 11 October 2013, Friday, 19:00","CSKA Moscow","Metallurg Magnitogorsk",1,33,1,28
"197",37974,"Game # 197. 11 October 2013, Friday, 20:00","Donbass Donetsk","Medvescak Zagreb",2,40,5,28
"198",37975,"Game # 198. 11 October 2013, Friday, 20:00","Dinamo Minsk","Spartak Moscow",3,26,1,44
"199",37976,"Game # 199. 11 October 2013, Friday, 20:30","Dinamo Riga","Neftekhimik Nizhnekamsk",2,35,1,28
"200",37977,"Game # 200. 11 October 2013, Friday, 21:00","Slovan Bratislava","Salavat Yulaev Ufa",1,34,1,31
"201",37978,"Game # 201. 11 October 2013, Friday, 21:30","Lev Prague","Traktor Chelyabinsk",7,31,2,22
"202",37979,"Game # 202. 12 October 2013, Saturday, 14:00","Avangard Omsk Region","Torpedo Nizhny Novgorod",5,34,1,22
"203",37980,"Game # 203. 12 October 2013, Saturday, 15:00","Barys Astana","Ak Bars Kazan",0,18,5,28
"204",37981,"Game # 204. 12 October 2013, Saturday, 15:00","Ugra Khanty-Mansiysk","Vityaz Moscow Region",3,21,1,32
"205",37982,"Game # 205. 12 October 2013, Saturday, 15:00","Avtomobilist Yekaterinburg","Dynamo Moscow",2,21,4,32
"206",37983,"Game # 206. 13 October 2013, Sunday, 17:00","Atlant Moscow Region","Amur Khabarovsk",1,27,1,25
"207",37984,"Game # 207. 13 October 2013, Sunday, 17:00","Lokomotiv Yaroslavl","Sibir Novosibirsk Region",1,24,1,28
"208",37985,"Game # 208. 13 October 2013, Sunday, 17:00","Severstal Cherepovets","Metallurg Novokuznetsk",5,26,2,42
"209",37986,"Game # 209. 13 October 2013, Sunday, 17:00","SKA Saint Petersburg","Admiral Vladivostok",1,45,3,20
"210",37987,"Game # 210. 13 October 2013, Sunday, 17:00","CSKA Moscow","Neftekhimik Nizhnekamsk",2,24,1,38
"211",37988,"Game # 211. 13 October 2013, Sunday, 18:30","Dinamo Minsk","Donbass Donetsk",2,29,4,38
"212",37989,"Game # 212. 13 October 2013, Sunday, 18:00","Dinamo Riga","Metallurg Magnitogorsk",3,40,2,24
"213",37990,"Game # 213. 13 October 2013, Sunday, 18:00","Slovan Bratislava","Traktor Chelyabinsk",6,35,5,22
"214",37991,"Game # 214. 13 October 2013, Sunday, 15:00","Lev Prague","Salavat Yulaev Ufa",2,30,3,16
"215",37992,"Game # 215. 13 October 2013, Sunday, 19:30","Medvescak Zagreb","Spartak Moscow",2,44,2,30
"216",37993,"Game # 216. 14 October 2013, Monday, 16:00","Avangard Omsk Region","Ak Bars Kazan",2,38,3,21
"217",37994,"Game # 217. 14 October 2013, Monday, 17:00","Barys Astana","Torpedo Nizhny Novgorod",4,31,2,36
"218",37995,"Game # 218. 14 October 2013, Monday, 17:00","Ugra Khanty-Mansiysk","Dynamo Moscow",1,26,4,32
"219",37996,"Game # 219. 14 October 2013, Monday, 17:00","Avtomobilist Yekaterinburg","Vityaz Moscow Region",1,36,1,38
